Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
8.7000      -13491.2594  -13492.2051       0.9457   332.5
8.7500      -13491.4021  -13492.3828       0.9807   344.9
8.8000      -13491.4696  -13492.5146       1.0450   367.5
8.8500      -13491.5829  -13492.5488       0.9659   339.7
8.9000      -13491.3308  -13492.1738       0.8431   296.5
8.9500      -13491.0314  -13491.8486       0.8173   287.4
9.0000      -13491.3102  -13492.1748       0.8646   304.0
9.0500      -13491.1869  -13492.0781       0.8912   313.4
9.1000      -13491.2404  -13492.5703       1.3299   467.7
9.1500      -13491.2419  -13492.3154       1.0736   377.5
9.2000      -13491.0997  -13492.0273       0.9276   326.2
9.2500      -13491.2655  -13492.2676       1.0021   352.4
9.3000      -13491.3730  -13492.1240       0.7511   264.1
9.3500      -13491.4092  -13492.1162       0.7070   248.6
9.4000      -13491.6635  -13492.5342       0.8707   306.2
9.4500      -13491.6572  -13492.3877       0.7305   256.9
9.5000      -13491.5213  -13492.2979       0.7766   273.1
9.5500      -13491.8404  -13492.3428       0.5024   176.7
9.6000      -13491.4846  -13492.2822       0.7976   280.5
9.6500      -13491.3590  -13492.2275       0.8685   305.4
9.7000      -13491.3353  -13492.3994       1.0641   374.2
9.7500      -13491.3363  -13492.2451       0.9088   319.6
9.8000      -13491.6707  -13492.4150       0.7443   261.7
9.8500      -13491.3483  -13492.1494       0.8011   281.7
9.9000      -13491.2252  -13491.9658       0.7407   260.5
9.9500      -13491.3760  -13492.2920       0.9160   322.1
10.0000     -13491.1389  -13492.2627       1.1238   395.2
10.0500     -13491.5411  -13492.1582       0.6171   217.0
10.1000     -13491.5153  -13492.2822       0.7669   269.7
10.1500     -13491.3648  -13492.1855       0.8207   288.6
10.2000     -13491.7940  -13492.5488       0.7548   265.4
10.2500     -13491.8191  -13492.4570       0.6380   224.3
10.3000     -13491.6735  -13492.2891       0.6156   216.5
10.3500     -13491.4881  -13492.1992       0.7111   250.1
10.4000     -13491.3622  -13492.1230       0.7608   267.5
10.4500     -13491.4149  -13492.3857       0.9708   341.4
10.5000     -13491.2639  -13492.3174       1.0535   370.5
10.5500     -13491.6622  -13492.3711       0.7089   249.3
10.6000     -13491.7689  -13492.5312       0.7624   268.1
10.6500     -13491.7561  -13492.4023       0.6463   227.3
10.7000     -13491.4100  -13492.3691       0.9591   337.3
10.7500     -13491.4311  -13492.3184       0.8873   312.0
10.8000     -13491.4828  -13492.3125       0.8297   291.8
10.8500     -13491.6084  -13492.3496       0.7412   260.6
10.9000     -13491.5866  -13492.3232       0.7366   259.0
10.9500     -13491.4339  -13492.3545       0.9206   323.7
11.0000     -13491.5323  -13492.2461       0.7138   251.0
11.0500     -13491.6488  -13492.6543       1.0055   353.6
11.1000     -13491.5402  -13492.1426       0.6023   211.8
11.1500     -13491.4018  -13492.3916       0.9898   348.1
11.2000     -13491.3583  -13492.2471       0.8888   312.5
11.2500     -13491.6291  -13492.5840       0.9549   335.8
11.3000     -13491.1799  -13492.0576       0.8778   308.7
11.3500     -13491.4364  -13492.2627       0.8263   290.6
11.4000     -13491.5332  -13492.2803       0.7471   262.7
11.4500     -13491.4775  -13492.2422       0.7646   268.9
11.5000     -13491.5008  -13492.4141       0.9132   321.1
11.5500     -13491.2563  -13492.4180       1.1616   408.5
11.6000     -13491.2255  -13492.2432       1.0177   357.9
11.6500     -13490.8602  -13491.9434       1.0832   380.9
11.7000     -13491.2914  -13492.2256       0.9342   328.5
11.7500     -13491.4539  -13492.3877       0.9338   328.4
11.8000     -13491.3693  -13492.4150       1.0458   367.7
11.8500     -13491.5029  -13492.0703       0.5674   199.5
11.9000     -13491.3409  -13492.2852       0.9443   332.1
11.9500     -13491.3538  -13492.2881       0.9342   328.5
12.0000     -13491.2557  -13492.0684       0.8126   285.8
12.0500     -13491.2570  -13492.2568       0.9998   351.6
12.1000     -13491.4340  -13492.4502       1.0162   357.4
12.1500     -13491.6237  -13492.5010       0.8772   308.5
12.2000     -13491.6280  -13492.4219       0.7939   279.2
12.2500     -13491.4006  -13492.1641       0.7635   268.5
12.3000     -13491.4758  -13492.3008       0.8250   290.1
12.3500     -13491.3821  -13492.2646       0.8825   310.3
12.4000     -13491.3308  -13492.4336       1.1027   387.8
12.4500     -13491.5061  -13492.3135       0.8073   283.9
12.5000     -13491.3233  -13492.3467       1.0233   359.9
12.5500     -13491.0683  -13492.3945       1.3262   466.4
12.6000     -13491.1929  -13492.2725       1.0795   379.6
12.6500     -13491.2385  -13492.1660       0.9276   326.2
12.7000     -13491.1701  -13492.0234       0.8534   300.1
12.7500     -13491.5677  -13492.4326       0.8649   304.2
12.8000     -13491.4761  -13492.3379       0.8618   303.1
12.8500     -13491.6157  -13492.2471       0.6314   222.0
12.9000     -13491.5910  -13492.3438       0.7528   264.7
12.9500     -13491.1258  -13492.0186       0.8928   313.9
13.0000     -13491.2926  -13492.3252       1.0326   363.1
13.0500     -13491.2972  -13492.2266       0.9293   326.8
13.1000     -13491.3055  -13492.0439       0.7384   259.7
13.1500     -13491.2344  -13492.1729       0.9384   330.0
13.2000     -13491.4451  -13492.3242       0.8791   309.1
13.2500     -13491.3885  -13492.3545       0.9660   339.7
13.3000     -13491.5233  -13492.4229       0.8995   316.3
13.3500     -13491.3260  -13492.2979       0.9718   341.7
13.4000     -13491.2252  -13492.0928       0.8676   305.1
13.4500     -13491.5567  -13492.0742       0.5175   182.0
13.5000     -13491.1355  -13491.9375       0.8020   282.0
13.5500     -13490.8878  -13492.0771       1.1894   418.2
13.6000     -13491.0204  -13492.1172       1.0968   385.7
13.6500     -13490.9427  -13492.1270       1.1843   416.5
13.7000     -13491.1106  -13492.1367       1.0261   360.8
13.7500     -13491.4099  -13492.2217       0.8118   285.5
13.8000     -13491.3273  -13492.3076       0.9803   344.7
13.8500     -13491.2834  -13492.2637       0.9803   344.7
13.9000     -13491.2510  -13492.3047       1.0537   370.5
13.9500     -13491.4495  -13492.3643       0.9148   321.7
14.0000     -13491.7153  -13492.3486       0.6333   222.7
14.0500     -13491.7207  -13492.4482       0.7275   255.8
14.1000     -13491.5209  -13492.2266       0.7057   248.2
14.1500     -13491.3292  -13492.4033       1.0741   377.7
14.2000     -13491.5965  -13492.3428       0.7463   262.4
14.2500     -13491.4472  -13492.2969       0.8497   298.8
14.3000     -13491.3122  -13492.0137       0.7015   246.7
14.3500     -13491.0392  -13491.9951       0.9559   336.2
14.4000     -13491.0944  -13492.1885       1.0941   384.8
14.4500     -13491.4430  -13492.3408       0.8979   315.7
14.5000     -13491.1439  -13492.2461       1.1021   387.6
14.5500     -13491.1540  -13492.1895       1.0354   364.1
14.6000     -13491.3161  -13492.1133       0.7972   280.3
14.6500     -13491.1857  -13491.9531       0.7675   269.9
14.7000     -13491.1994  -13491.9980       0.7987   280.9
14.7500     -13491.1501  -13492.1055       0.9554   336.0
14.8000     -13491.3286  -13492.0117       0.6831   240.2
14.8500     -13491.3011  -13492.1660       0.8649   304.2
14.9000     -13491.2261  -13491.9375       0.7114   250.2
14.9500     -13491.3278  -13492.1211       0.7933   278.9
15.0000     -13491.1833  -13491.8867       0.7034   247.3
15.0500     -13491.2684  -13492.0811       0.8126   285.8
15.1000     -13491.1931  -13492.1367       0.9436   331.8
15.1500     -13490.8948  -13492.0137       1.1189   393.5
15.2000     -13490.8771  -13492.0371       1.1600   407.9
15.2500     -13490.9435  -13491.5947       0.6512   229.0
15.3000     -13490.8103  -13491.6426       0.8322   292.7
15.3500     -13490.4988  -13491.6943       1.1955   420.4
15.4000     -13490.7821  -13491.6660       0.8839   310.8
15.4500     -13490.9083  -13491.9033       0.9951   349.9
15.5000     -13490.6069  -13491.8584       1.2515   440.1
15.5500     -13491.0419  -13492.1299       1.0880   382.6
15.6000     -13491.3832  -13492.0967       0.7135   250.9
15.6500     -13491.2176  -13492.1338       0.9162   322.2
15.7000     -13491.1445  -13492.1377       0.9932   349.3
15.7500     -13491.0849  -13492.0098       0.9248   325.2
15.8000     -13490.9868  -13491.8682       0.8814   309.9
15.8500     -13490.7956  -13491.8145       1.0188   358.3
15.9000     -13490.6737  -13491.8115       1.1378   400.1
15.9500     -13491.1665  -13492.2617       1.0952   385.1
16.0000     -13491.2316  -13491.9873       0.7557   265.7
16.0500     -13491.2251  -13492.0762       0.8511   299.3
16.1000     -13491.4261  -13492.2646       0.8386   294.9
16.1500     -13491.4371  -13492.3027       0.8656   304.4
16.2000     -13491.3926  -13492.2275       0.8349   293.6
16.2500     -13491.4511  -13492.2109       0.7598   267.2
16.3000     -13491.5423  -13492.2949       0.7526   264.7
16.3500     -13491.5352  -13492.5576       1.0224   359.5
16.4000     -13491.4149  -13492.4336       1.0187   358.2
16.4500     -13491.4588  -13492.4590       1.0002   351.7
16.5000     -13491.4130  -13492.3486       0.9356   329.0
16.5500     -13491.6939  -13492.3408       0.6469   227.5
16.6000     -13491.8936  -13492.5625       0.6689   235.2
16.6500     -13491.9263  -13492.4053       0.4789   168.4
16.7000     -13491.6828  -13492.4629       0.7800   274.3
16.7500     -13491.7104  -13492.3916       0.6812   239.5
16.8000     -13491.5919  -13492.6123       1.0204   358.8
16.8500     -13491.5083  -13492.3154       0.8071   283.8
16.9000     -13491.6700  -13492.3018       0.6317   222.1
16.9500     -13491.7433  -13492.4023       0.6590   231.7
17.0000     -13491.2573  -13492.0371       0.7798   274.2
17.0500     -13491.1884  -13491.9707       0.7823   275.1
17.1000     -13491.3149  -13492.4189       1.1041   388.3
17.1500     -13491.2598  -13492.3252       1.0654   374.7
17.2000     -13491.4739  -13492.2520       0.7780   273.6
17.2500     -13491.4413  -13492.1592       0.7178   252.4
17.3000     -13491.4401  -13492.2148       0.7747   272.4
17.3500     -13491.3868  -13492.5400       1.1532   405.5
17.4000     -13491.6827  -13492.4434       0.7607   267.5
17.4500     -13491.4882  -13492.3428       0.8546   300.5
17.5000     -13491.0827  -13491.9678       0.8851   311.2
17.5500     -13491.3268  -13492.0771       0.7503   263.9
17.6000     -13491.2389  -13492.0107       0.7718   271.4
17.6500     -13491.2445  -13492.1904       0.9459   332.6
17.7000     -13491.3055  -13492.1621       0.8566   301.2
17.7500     -13491.3490  -13492.4590       1.1100   390.3
17.8000     -13491.7489  -13492.4570       0.7081   249.0
17.8500     -13491.6346  -13492.4170       0.7824   275.1
17.9000     -13491.4272  -13492.2676       0.8404   295.5
17.9500     -13491.3512  -13492.2744       0.9232   324.6
18.0000     -13491.5238  -13492.3389       0.8151   286.6
18.0500     -13491.4261  -13492.3125       0.8864   311.7
18.1000     -13491.5283  -13492.4756       0.9473   333.1
18.1500     -13491.6120  -13492.6455       1.0335   363.4
18.2000     -13491.7411  -13492.3418       0.6007   211.2
18.2500     -13491.6785  -13492.1914       0.5129   180.4
18.3000     -13491.4752  -13492.1895       0.7142   251.2
18.3500     -13491.5979  -13492.2031       0.6052   212.8
18.4000     -13491.2731  -13492.1289       0.8558   300.9
18.4500     -13491.2679  -13492.0039       0.7360   258.8
18.5000     -13491.3184  -13491.9551       0.6367   223.9
18.5500     -13491.1941  -13492.1152       0.9211   323.9
18.6000     -13491.0188  -13492.0781       1.0593   372.5
18.6500     -13491.4177  -13492.2207       0.8030   282.4
18.7000     -13491.3514  -13492.1699       0.8185   287.8
18.7500     -13491.2563  -13492.2588       1.0025   352.5
18.8000     -13491.3831  -13492.3848       1.0017   352.2
18.8500     -13491.4770  -13492.3799       0.9028   317.5
18.9000     -13491.3140  -13492.3428       1.0288   361.8
18.9500     -13491.3094  -13492.1328       0.8234   289.5
19.0000     -13491.4266  -13492.3672       0.9406   330.7
19.0500     -13491.4589  -13492.1445       0.6857   241.1
19.1000     -13491.1106  -13492.2432       1.1325   398.3
19.1500     -13491.4964  -13492.2373       0.7409   260.6
19.2000     -13491.4342  -13492.2881       0.8539   300.3
19.2500     -13491.3949  -13492.4004       1.0055   353.6
19.3000     -13491.4845  -13492.3906       0.9061   318.6
19.3500     -13491.7195  -13492.3516       0.6321   222.3
19.4000     -13491.8591  -13492.5459       0.6868   241.5
19.4500     -13491.4782  -13492.4512       0.9729   342.1
19.5000     -13491.6584  -13492.3320       0.6736   236.9
19.5500     -13491.5793  -13492.2842       0.7049   247.9
19.6000     -13491.6194  -13492.4658       0.8464   297.6
19.6500     -13491.4969  -13492.3008       0.8039   282.7
19.7000     -13491.4562  -13492.3633       0.9071   319.0
19.7500     -13491.5086  -13492.2520       0.7433   261.4
19.8000     -13491.4270  -13492.2754       0.8484   298.3
19.8500     -13491.5926  -13492.2695       0.6769   238.0
19.9000     -13491.5554  -13492.3262       0.7708   271.1
19.9500     -13491.5399  -13492.5059       0.9659   339.7
20.0000     -13491.6644  -13492.4521       0.7878   277.0
20.0500     -13491.6501  -13492.3223       0.6722   236.4
20.1000     -13491.3047  -13492.3057       1.0010   352.0
20.1500     -13491.5646  -13492.3809       0.8163   287.0
20.2000     -13491.7481  -13492.5205       0.7724   271.6
20.2500     -13491.8916  -13492.5674       0.6758   237.6
20.3000     -13491.5219  -13492.4648       0.9430   331.6
20.3500     -13491.5527  -13492.2471       0.6944   244.2
20.4000     -13491.3757  -13492.1367       0.7610   267.6
20.4500     -13491.0888  -13492.2568       1.1680   410.7
20.5000     -13491.3471  -13492.0850       0.7379   259.5
20.5500     -13491.4010  -13492.3350       0.9340   328.4
20.6000     -13491.6208  -13492.2910       0.6702   235.7
20.6500     -13491.4940  -13492.2666       0.7726   271.7
20.7000     -13491.6665  -13492.3887       0.7221   253.9
20.7500     -13491.6121  -13492.5645       0.9523   334.9
20.8000     -13491.6186  -13492.4619       0.8433   296.6
20.8500     -13491.2618  -13492.0801       0.8183   287.7
20.9000     -13491.1435  -13492.0137       0.8701   306.0
20.9500     -13491.1854  -13491.9746       0.7892   277.5
21.0000     -13491.2811  -13492.2988       1.0178   357.9
21.0500     -13491.3366  -13492.1875       0.8509   299.2
21.1000     -13491.4683  -13492.3477       0.8794   309.2
21.1500     -13491.3255  -13492.4346       1.1091   390.0
21.2000     -13491.2472  -13492.2324       0.9852   346.4
21.2500     -13491.3004  -13492.0059       0.7054   248.1
21.3000     -13491.3201  -13492.1084       0.7883   277.2
21.3500     -13491.3677  -13492.1309       0.7632   268.4
21.4000     -13491.1847  -13491.7666       0.5819   204.6
21.4500     -13491.1265  -13492.0332       0.9067   318.8
21.5000     -13491.1498  -13492.0781       0.9283   326.4
21.5500     -13491.1054  -13492.2305       1.1250   395.6
21.6000     -13491.4237  -13492.3076       0.8839   310.8
21.6500     -13491.2008  -13491.8916       0.6908   242.9
21.7000     -13491.2648  -13492.3027       1.0380   365.0
21.7500     -13491.4183  -13492.3242       0.9059   318.6
21.8000     -13491.3451  -13492.2070       0.8620   303.1
21.8500     -13491.1908  -13491.9531       0.7623   268.1
21.9000     -13491.0147  -13491.8926       0.8779   308.7
21.9500     -13491.2485  -13492.0293       0.7808   274.6
22.0000     -13491.5711  -13492.4121       0.8410   295.8
22.0500     -13491.4372  -13492.3643       0.9270   326.0
22.1000     -13491.6471  -13492.5000       0.8529   299.9
22.1500     -13491.7971  -13492.4502       0.6531   229.7
22.2000     -13491.5028  -13492.1641       0.6612   232.5
22.2500     -13491.3593  -13492.3418       0.9824   345.5
22.3000     -13491.2484  -13492.1338       0.8853   311.3
