Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
49.6000     -13491.5386  -13492.2686       0.7300   256.7
49.6500     -13491.5438  -13492.3174       0.7735   272.0
49.7000     -13491.4940  -13492.3037       0.8097   284.7
49.7500     -13491.4525  -13492.3555       0.9029   317.5
49.8000     -13491.4662  -13492.1719       0.7057   248.2
49.8500     -13491.4188  -13492.2158       0.7970   280.3
49.9000     -13491.6571  -13492.5039       0.8468   297.8
49.9500     -13491.5458  -13492.4082       0.8624   303.3
50.0000     -13491.5101  -13492.4307       0.9206   323.7
50.0500     -13491.6203  -13492.3779       0.7577   266.4
50.1000     -13491.5874  -13492.4609       0.8736   307.2
50.1500     -13491.6376  -13492.4463       0.8087   284.4
50.2000     -13491.6092  -13492.3799       0.7707   271.0
50.2500     -13491.5513  -13492.3076       0.7564   266.0
50.3000     -13491.4479  -13492.1611       0.7133   250.8
50.3500     -13491.3149  -13492.0723       0.7574   266.3
50.4000     -13491.3701  -13492.2988       0.9288   326.6
50.4500     -13491.3152  -13492.3574       1.0422   366.5
50.5000     -13491.3369  -13492.1436       0.8067   283.7
