phi_degree,psi_degree,free_energy_kj_mol,samples
-132.5,-152.5,10.845908003144777,51.0
-127.50000000000001,-152.5,12.357513649106648,28.0
-122.50000000000001,-152.5,13.759616565077224,44.0
-117.50000000000001,-152.5,14.868800167005334,72.0
-112.5,-152.5,15.550884746857564,43.0
-107.5,-152.5,15.806145694165048,36.0
-102.5,-152.5,15.782940564518096,6.0
-97.5,-152.5,15.636904143224793,0.0
-92.50000000000001,-152.5,15.41742798923383,0.0
-87.5,-152.5,15.138562342420698,41.0
-82.50000000000001,-152.5,14.8970041425269,21.0
-77.5,-152.5,14.872482700203628,31.0
-72.5,-152.5,15.233738896945539,40.0
-67.5,-152.5,16.01891235216396,22.0
-62.50000000000001,-152.5,17.061032389148867,20.0
-57.500000000000014,-152.5,18.061640312656806,0.0
-52.500000000000014,-152.5,18.785921548803184,0.0
-47.5,-152.5,19.187039568450505,0.0
-42.5,-152.5,19.358230675548125,0.0
-37.50000000000001,-152.5,19.414811207904073,0.0
-32.500000000000014,-152.5,19.429398233585424,0.0
-27.499999999999993,-152.5,19.432412608081304,0.0
-22.5,-152.5,19.432975262448206,0.0
-17.500000000000007,-152.5,19.43310456145085,0.0
-12.50000000000001,-152.5,19.43314599000574,0.0
-7.500000000000017,-152.5,19.433156727381103,0.0
-2.4999999999999973,-152.5,19.433126238000664,0.0
2.4999999999999973,-152.5,19.4328236134429,0.0
7.499999999999991,-152.5,19.430739010033854,0.0
12.499999999999986,-152.5,19.419656077146474,0.0
17.500000000000007,-152.5,19.37416134905152,0.0
22.5,-152.5,19.230322749032137,0.0
27.499999999999993,-152.5,18.88102765571533,0.0
32.499999999999986,-152.5,18.230938694783937,0.0
37.499999999999986,-152.5,17.3025347181513,17.0
42.5,-152.5,16.272994426650758,3.0
47.5,-152.5,15.35296556681107,24.0
52.49999999999999,-152.5,14.644239114867547,41.0
57.499999999999986,-152.5,14.169752078097304,0.0
62.49999999999998,-152.5,14.003090038625484,15.0
67.49999999999997,-152.5,14.274351109378957,18.0
72.49999999999997,-152.5,15.017374356151207,3.0
77.50000000000001,-152.5,16.035956282645028,23.0
82.50000000000001,-152.5,16.974548814539027,18.0
87.5,-152.5,17.580636524327865,0.0
92.5,-152.5,17.895562016516024,0.0
97.49999999999999,-152.5,18.147920137451504,0.0
102.49999999999999,-152.5,18.484240202452845,0.0
107.49999999999999,-152.5,18.859114229198084,0.0
112.49999999999997,-152.5,19.152780183043998,0.0
117.49999999999997,-152.5,19.301477974539882,0.0
122.50000000000001,-152.5,19.29149709874797,0.0
127.50000000000001,-152.5,19.078770930983417,0.0
132.5,-152.5,18.561216998366458,0.0
137.5,-152.5,17.663821130295084,0.0
142.5,-152.5,16.475669780241095,0.0
147.49999999999997,-152.5,15.272617365177442,0.0
152.49999999999997,-152.5,14.341821419642036,7.0
157.49999999999997,-152.5,13.779126635524554,32.0
162.49999999999997,-152.5,13.481425344051985,63.0
167.5,-152.5,13.28508610675688,16.0
172.5,-152.5,13.048199564740326,21.0
177.5,-152.5,12.654698435084462,62.0
-177.5,-147.5,12.612352336299564,27.0
-172.5,-147.5,11.905051026230907,69.0
-167.5,-147.5,11.102462788143871,52.0
-162.5,-147.5,10.2042587871394,6.0
-157.5,-147.5,9.301537995029403,29.0
-152.5,-147.5,8.67368281545642,81.0
-147.5,-147.5,8.572172849609252,74.0
-142.5,-147.5,8.995316466460894,8.0
-137.5,-147.5,9.7925601076546,43.0
-132.5,-147.5,10.875134963604477,60.0
-127.50000000000001,-147.5,12.1965729258294,48.0
-122.50000000000001,-147.5,13.592418049263749,41.0
-117.50000000000001,-147.5,14.754776144034496,5.0
-112.5,-147.5,15.415752450776695,4.0
-107.5,-147.5,15.568160076650505,0.0
-102.5,-147.5,15.467181688184708,13.0
-97.5,-147.5,15.379943762421892,39.0
-92.50000000000001,-147.5,15.382343527702751,24.0
-87.5,-147.5,15.421991908726044,26.0
-82.50000000000001,-147.5,15.489542675134498,0.0
-77.5,-147.5,15.674863809739563,0.0
-72.5,-147.5,16.09701973921646,24.0
-67.5,-147.5,16.790698631250468,35.0
-62.50000000000001,-147.5,17.635583077592532,7.0
-57.500000000000014,-147.5,18.413885792073323,0.0
-52.500000000000014,-147.5,18.961591475374874,0.0
-47.5,-147.5,19.25768635392903,0.0
-42.5,-147.5,19.381119918121964,0.0
-37.50000000000001,-147.5,19.42091372570104,0.0
-32.500000000000014,-147.5,19.43086474326869,0.0
-27.499999999999993,-147.5,19.432807426778396,0.0
-22.5,-147.5,19.433111698346174,0.0
-17.500000000000007,-147.5,19.43315474245561,0.0
-12.50000000000001,-147.5,19.433162029954378,0.0
-7.500000000000017,-147.5,19.43316113253247,0.0
-2.4999999999999973,-147.5,19.43313049378247,0.0
2.4999999999999973,-147.5,19.432854193347065,0.0
7.499999999999991,-147.5,19.430951130039492,0.0
12.499999999999986,-147.5,19.42081774143715,0.0
17.500000000000007,-147.5,19.379171207324504,0.0
22.5,-147.5,19.247344365637414,0.0
27.499999999999993,-147.5,18.926518719825403,0.0
32.499999999999986,-147.5,18.326031484193287,0.0
37.499999999999986,-147.5,17.45582870946382,11.0
42.5,-147.5,16.457087486226644,29.0
47.5,-147.5,15.501952213790029,52.0
52.49999999999999,-147.5,14.691492362379993,13.0
57.499999999999986,-147.5,14.10081107277204,3.0
62.49999999999998,-147.5,13.868672600911395,43.0
67.49999999999997,-147.5,14.141850176189356,46.0
72.49999999999997,-147.5,14.903617738415845,33.0
77.50000000000001,-147.5,15.884083738934073,2.0
82.50000000000001,-147.5,16.69584971422562,0.0
87.5,-147.5,17.129810065116718,0.0
92.5,-147.5,17.323035528413342,0.0
97.49999999999999,-147.5,17.581296446881073,20.0
102.49999999999999,-147.5,18.045905843906205,0.0
107.49999999999999,-147.5,18.594059944090827,0.0
112.49999999999997,-147.5,19.029027400489237,0.0
117.49999999999997,-147.5,19.26337115980918,0.0
122.50000000000001,-147.5,19.306619289740507,0.0
127.50000000000001,-147.5,19.15061139562404,0.0
132.5,-147.5,18.710615399438534,0.0
137.5,-147.5,17.889693086413125,0.0
142.5,-147.5,16.72547661961546,0.0
147.49999999999997,-147.5,15.468315139754264,56.0
152.49999999999997,-147.5,14.4548767905269,23.0
157.49999999999997,-147.5,13.870471190271386,48.0
162.49999999999997,-147.5,13.65079846691644,78.0
167.5,-147.5,13.588885342717289,8.0
172.5,-147.5,13.473963111530193,8.0
177.5,-147.5,13.159842218438524,17.0
-177.5,-142.5,12.757814116125948,30.0
-172.5,-142.5,12.049624456088539,38.0
-167.5,-142.5,11.33775650453121,27.0
-162.5,-142.5,10.607142873737804,20.0
-157.5,-142.5,9.906347010758182,93.0
-152.5,-142.5,9.462416957367335,33.0
-147.5,-142.5,9.4502472058215,103.0
-142.5,-142.5,9.79150650452782,13.0
-137.5,-142.5,10.341961728938323,33.0
-132.5,-142.5,11.131175555640299,54.0
-127.50000000000001,-142.5,12.243172983618251,14.0
-122.50000000000001,-142.5,13.536292019903994,9.0
-117.50000000000001,-142.5,14.62537881041631,3.0
-112.5,-142.5,15.180231950538005,7.0
-107.5,-142.5,15.222580272425187,13.0
-102.5,-142.5,15.090718469453135,20.0
-97.5,-142.5,15.10461382125388,9.0
-92.50000000000001,-142.5,15.324099915172523,34.0
-87.5,-142.5,15.636321828808676,2.0
-82.50000000000001,-142.5,15.968012481860521,0.0
-77.5,-142.5,16.35419650765787,11.0
-72.5,-142.5,16.862045035826526,17.0
-67.5,-142.5,17.49642131516312,40.0
-62.50000000000001,-142.5,18.166200110248347,14.0
-57.500000000000014,-142.5,18.73564916857713,0.0
-52.500000000000014,-142.5,19.117625803497557,0.0
-47.5,-142.5,19.3178604258274,0.0
-42.5,-142.5,19.39952265255766,0.0
-37.50000000000001,-142.5,19.42538588122774,0.0
-32.500000000000014,-142.5,19.43174455567764,0.0
-27.499999999999993,-142.5,19.43295929361903,0.0
-22.5,-142.5,19.433140443797445,0.0
-17.500000000000007,-142.5,19.433161999597687,0.0
-12.50000000000001,-142.5,19.433164126856276,0.0
-7.500000000000017,-142.5,19.433162384832492,0.0
-2.4999999999999973,-142.5,19.433139173404847,0.0
2.4999999999999973,-142.5,19.432931418299834,0.0
7.499999999999991,-142.5,19.431493286053513,0.0
12.499999999999986,-142.5,19.423787548743622,0.0
17.500000000000007,-142.5,19.391856407227085,0.0
22.5,-142.5,19.28954156000215,0.0
27.499999999999993,-142.5,19.035508393106085,0.0
32.499999999999986,-142.5,18.543138275463953,0.0
37.499999999999986,-142.5,17.784303136215865,0.0
42.5,-142.5,16.820766294938313,0.0
47.5,-142.5,15.766307639193842,11.0
52.49999999999999,-142.5,14.761450997962891,8.0
57.499999999999986,-142.5,14.011307953100932,54.0
62.49999999999998,-142.5,13.764106861485045,24.0
67.49999999999997,-142.5,14.14723805142671,28.0
72.49999999999997,-142.5,15.00960313807023,7.0
77.50000000000001,-142.5,15.959778588219308,5.0
82.50000000000001,-142.5,16.609470888394135,5.0
87.5,-142.5,16.853884360426186,5.0
92.5,-142.5,16.940434566024287,3.0
97.49999999999999,-142.5,17.21385105378823,18.0
102.49999999999999,-142.5,17.777577612146025,0.0
107.49999999999999,-142.5,18.441129469801492,0.0
112.49999999999997,-142.5,18.961605704275883,0.0
117.49999999999997,-142.5,19.24527071603758,0.0
122.50000000000001,-142.5,19.322229172519506,0.0
127.50000000000001,-142.5,19.21206359290744,0.0
132.5,-142.5,18.84755064562388,0.0
137.5,-142.5,18.119394001688654,0.0
142.5,-142.5,17.017722159868963,0.0
147.49999999999997,-142.5,15.748107261212622,0.0
152.49999999999997,-142.5,14.661661808357033,51.0
157.49999999999997,-142.5,14.015190906665653,47.0
162.49999999999997,-142.5,13.798533493283939,13.0
167.5,-142.5,13.78498048272039,11.0
172.5,-142.5,13.698294673122591,0.0
177.5,-142.5,13.355929642359067,32.0
-177.5,-137.5,12.813963774719664,43.0
-172.5,-137.5,12.040106383710414,29.0
-167.5,-137.5,11.385757196381048,23.0
-162.5,-137.5,10.844690065019075,14.0
-157.5,-137.5,10.422636250301656,0.0
-152.5,-137.5,10.258202511833597,95.0
-147.5,-137.5,10.427470995304365,54.0
-142.5,-137.5,10.801130211081562,12.0
